,state,year,population,packs,income,price,SalesTax
1,AL,1985,3973000,116.4862823,10.76386638,94.96438057,0.788412148
2,AR,1985,2327000,128.5345917,10.46816529,94.30762157,0
3,AZ,1985,3184000,104.5226135,12.83045601,100.9096219,4.805221101
4,CA,1985,26444000,100.3630371,15.71332146,100.2205797,5.672862669
5,CO,1985,3209000,112.9635391,14.32619026,87.60842451,0
6,CT,1985,3201000,109.2783508,17.43860521,118.9823391,8.813507255
7,DE,1985,618000,143.8511353,14.92899091,95.25247531,0
8,FL,1985,11352000,122.1811218,13.66538198,107.1468435,5.102232161
9,GA,1985,5963000,127.2346191,12.21353517,90.17209257,0.782372801
10,IA,1985,2830000,113.7455826,12.44725816,94.64870373,3.640334486
11,ID,1985,994000,103.0181122,10.82448339,95.63134992,3.678128707
12,IL,1985,11401000,123.2084808,14.41098039,97.06343552,0.850604832
13,IN,1985,5460000,137.6373749,12.21312446,89.38661944,4.256505603
14,KS,1985,2428000,116.680397,13.31444517,91.9357945,2.677740279
15,KY,1985,3695000,186.0351868,10.74071386,80.8561833,3.850295287
16,LA,1985,4409000,127.5572662,11.26284889,100.7379179,3.874534214
17,MA,1985,5881000,115.677597,15.53877591,104.2828424,0
18,MD,1985,4414000,120.9787064,15.76002381,85.47088224,0
19,ME,1985,1163000,128.1169434,11.64730071,99.48652702,4.737453499
20,MI,1985,9077000,128.0048523,13.69203128,97.50387707,0.77215005
21,MN,1985,4185000,112.9032288,14.02432156,105.6223684,5.978623425
22,MO,1985,5001000,130.3739319,12.88625576,92.32171707,0.79445504
23,MS,1985,2588000,117.040184,9.221332728,97.85626151,5.539032734
24,MT,1985,822000,104.2579041,11.06335783,92.27850038,0
25,NC,1985,6255000,155.2837677,11.7533717,78.96653964,3.037174465
26,ND,1985,677000,105.4652863,11.9059982,99.26394156,3.817845542
27,NE,1985,1585000,107.3817062,12.76961788,97.21809384,3.739158546
28,NH,1985,997000,197.993988,14.69787556,88.75464889,0
29,NJ,1985,7566000,116.5212784,16.40448945,102.61772,0
30,NM,1985,1439000,88.74217987,11.14654978,95.51858945,3.673791084
31,NV,1985,951000,141.9558411,14.2498166,106.1231432,6.006971306
32,NY,1985,17794000,116.6629181,15.55014988,102.2284648,0.818929727
33,OH,1985,10736000,127.5987396,13.28398803,93.33061944,4.444313861
34,OK,1985,3272000,127.1393661,12.32593692,94.30119048,0.768044642
35,OR,1985,2673000,119.4537964,12.58807434,90.17967942,0
36,PA,1985,11772000,117.7030258,13.42371887,101.3698956,5.737918149
37,RI,1985,967000,132.7817841,13.67541156,93.81195909,0
38,SC,1985,3304000,127.2094421,10.83967639,84.23908243,4.011384709
39,SD,1985,698000,106.5902557,11.10448359,90.22615066,0
40,TN,1985,4716000,129.8345947,11.38055479,94.74489367,5.362918509
41,TX,1985,16275000,115.1029282,13.1912104,99.79553878,3.838291044
42,UT,1985,1643000,68.04625702,11.00895567,102.4124921,5.79693251
43,VA,1985,5716000,134.0097961,14.20418294,85.144364,3.274782958
44,VT,1985,530000,145.28302,12.07669418,93.85068748,0
45,WA,1985,4401000,96.22812653,13.6937764,120.317001,7.871206103
46,WI,1985,4748000,107.8769989,12.8664469,106.4962887,5.071250153
47,WV,1985,1907000,112.8474045,10.16260016,101.2186336,4.819933921
48,WY,1985,5.00E+05,129.3999939,13.22817131,86.86493432,0
